2018-01-02 07:55:00,13374.0,13322.00000016,13350.49575795,13350.7,70924.82617859,5.31413976,13346.43599561
2018-01-02 08:00:00,13373.99999945,13325.19877047,13350.7,13348.99999999,70591.39132643,5.28674972,13352.51242542
2018-01-02 08:05:00,13390.00000001,13349.90000005,13349.90000005,13390.00000001,192153.32653245,14.35908833,13382.0004527
2018-01-02 08:10:00,13407.84689398,13380.9999,13390.00000001,13385.94925662,346693.15968675,25.88005386,13396.15294319
2018-01-02 08:15:00,13450.0,13386.50000004,13399.0,13413.66052999,276273.03918042,20.60278577,13409.49919416
2018-01-02 08:20:00,13429.71999495,13377.19877098,13429.68999999,13399.99999999,318463.1471061,23.75628965,13405.4244917
2018-01-02 08:25:00,13399.99999999,13377.19877038,13399.99999999,13394.46384557,79899.8554836,5.97220754,13378.6133433
2018-01-02 08:30:00,13437.51999996,13370.00000001,13377.1987704,13377.3826,411259.50523505,30.69714119,13397.32265912
2018-01-02 08:35:00,13429.99999996,13353.99058104,13410.0,13399.9999999,223992.92725964,16.71622496,13399.73156592
2018-01-02 08:40:00,13431.68416381,13371.39858443,13399.99999986,13424.73552502,371143.45925435,27.67482889,13410.86735276
2018-01-02 08:45:00,13424.73552491,13360.73552658,13424.73552491,13373.794645,303968.60578551,22.72479499,13376.07692035
2018-01-02 08:50:00,13403.99999987,13353.99058101,13375.0,13391.99999971,158778.45329594,11.85912301,13388.71796523
2018-01-02 08:55:00,13405.71909238,13355.00000032,13391.99999971,13405.71909232,177028.56118586,13.23560863,13375.17345327
2018-01-02 09:00:00,13484.39999947,13356.000001,13405.71909,13472.99999741,177456.55855154,13.20568695,13437.88923843
2018-01-02 09:05:00,13512.07383629,13450.0,13471.0,13512.07383629,175169.22629948,12.99170101,13483.16330283
2018-01-02 09:10:00,13550.71909264,13473.08161905,13513.07989903,13539.40272235,380362.87678291,28.13619137,13518.63412432
2018-01-02 09:15:00,13550.40272239,13450.60668215,13520.00000016,13465.99989999,208955.7754382,15.46254192,13513.6755987
2018-01-02 09:20:00,13494.80367377,13434.0720719,13465.99989999,13437.25761296,372083.14755261,27.64059751,13461.47265514
2018-01-02 09:25:00,13519.99999974,13443.1692129,13443.1692129,13500.0,184710.81977565,13.68853762,13493.83147442
2018-01-02 09:30:00,13515.20959967,13429.17283895,13500.00000002,13497.99999994,340936.84771025,25.27621572,13488.44508557
2018-01-02 09:35:00,13497.99999981,13429.17283895,13470.63568343,13432.26838409,94538.20547458,7.02072713,13465.58607449
